Date,Location,Time_start,Time_end,Condition_one,Condition_two,Temperature_F,Trapper_one,Trapper_two,Trapper_three,Trapper_four,Trapper_five,Trap_zone,Species ,Total_wt_g,Bag_wt_g,Sq_wt_g,Sex,Age,Age_certainty,PIT_tag_number,PIT_tag_certainty,Ear_tag_position,Ear_tag_number,Location_fur_dye_one,Location_fur_dye_two,Freeze_brand_one,Freeze_brand_two,Comment_one,Comment_two 
6-Sep-10,Slu Campus,14:23,15:30,Cloudy,Cool,,Whole Class,,,,,E,SCCA,860,,,M,Adult,,,,R,1,Right hip,,Right hip,,Slightly scrotal,
6-Sep-10,Slu Campus,14:23,15:30,Cloudy,Cool,,Whole Class,,,,,F,SCCA,,,,M,Adult,,,,,,Right hip,,Right backleg,,Slightly scrotal,Missing tip of tail
6-Sep-10,Slu Campus,14:23,15:30,Cloudy,Cool,,Whole Class,,,,,B,SCCA,800,,,M,Adult,,,,R,2,Center rump,,Left leg,,Slightly scrotal,
6-Sep-10,Slu Campus,14:23,15:30,Cloudy,Cool,,Whole Class,,,,,B,SCCA,700,,,M,Adult,,,,R,3,Left leg,,Left middle,,Slightly scrotal,
6-Sep-10,Slu Campus,14:23,15:30,Cloudy,Cool,,Whole Class,,,,,B,SCCA,780,,,M,Adult,,,,R,4,Left middle,,Right middle,,Slightly scrotal,
8-Sep-10,,7:30,9:10,Partly Cloudy,Cool,65,Erin,Hannah,Leah,Abbie,,C,SCCA,950,,,F,Adult,,,,L,5,Back middle,,Left hip,,Nipples well developed and larger,
8-Sep-10,,7:30,9:10,Partly Cloudy,Cool,65,Erin,Hannah,Leah,Abbie,,C,SCCA,750,,,F,Adult,,,,L,7,Left Hip,,Center rump,,Nipples not developed,
8-Sep-10,,7:30,9:10,Partly Cloudy,Cool,65,Erin,Hannah,Leah,Abbie,,C,SCCA,730,,,M,Adult,,,,R,8,Left Hip,,Left hip,,Tiny scrotal,
8-Sep-10,,7:30,9:10,Partly Cloudy,Cool,65,Erin,Hannah,Leah,Abbie,,C,SCCA,710,,,M,Sub Adult,,,,,,Right Middle,,Right shoulder,,Sub adult,
8-Sep-10,,7:30,9:10,Partly Cloudy,Cool,65,Erin,Hannah,Leah,Abbie,,C,SCCA,780,,,F,,,,,,,,,Right hip,,Escape during freeze branding,
8-Sep-10,,7:30,9:10,Partly Cloudy,Cool,65,Erin,Hannah,Leah,Abbie,,C,SCCA,790,,,F,Adult,,,,L,9,Right Hip,,Right leg,,Nipples large,Twitched then moved up
10-Sep-10,Front of Johnson Hall of Science,1:30,15:10,Cloudy ,,70,Andrew,Janet,Eddie,,,C,SCCA,800,,,F,Adult,,,,L,,Left Middle,Center rump,Right hip,,Well developed nipples,
10-Sep-10,Front of Johnson Hall of Science,1:30,15:10,Cloudy ,,70,Andrew,Janet,Eddie,,,C,SCCA,790,,,M,Adult,,,,R,,Right Hip,,Right leg,,Caught earlier,Half tail
